Titulo,Numero_de_videos,Descricao,Imagem_de_perfil,Numero_de_visualizacoes,Link,Numero_de_inscritos,Data,Canal_ID,Pais_codigo
ИЛЬДАР АВТО-ПОДБОР,505,"Ильдар Авто-подбор это официальный канал группы компаний АППодбор подержанных автомобилей.Выездная диагностика. Проверка бу авто перед покупкой по 105 пунктам: состояние двигателя и АКПП, электрика и электроника, кузов и ходовая.Оценка целесообразности покупки автомобиля. Проверка технической и юридической чистоты.Единый номер: 8 (800) 555-25-74Наш адрес в Москве: Духовской пер., д. 14, 1 этажРаботаем с 9:00 до 21:00. Без выходных. Наш сайт: авто-подбор.рфКонсультации бесплатно! Обращайтесь!Наши Техцентры: 1) г. Москва, Остаповский проезд, д6 с12) г. Москва, ул. Декабристов, д47Страхование ОСАГО, КАСКОНаша группа ВК: https://vk.com/cars_podborРекламы на этом канале нет! Просьба не писать предложения по рекламе!На почту пишите Ваши предложения и заявки на Оживление Мертвеца.Не забывайте указывать город и телефон. Всем добра!",https://yt3.ggpht.com/ytc/AIdro_nSmKbbxLTUAXYgMc_kGSr99g3j7_gtUaMm29kWoXK8W8c=s88-c-k-c0x00ffffff-no-rj,1702893369,https://www.youtube.com/channel/UCG4yz4wtp2E5S62L06yqC9w,5370000,2024-11-01,UCG4yz4wtp2E5S62L06yqC9w,RU
INNA SERG,612,"ИГРАЙ С НАМИ В GRAND MOBILE-ПРОМО SERG👇🏻НОВОСИБИРСК НА СВЯЗИ🤟🏻НЕ Типичная Яж мать и сын подросток 🤪Снимаем забавные,а где то мистические скетчи!Авторский контент🦦 Присоединяйтесь 🫶🏻 Сотрудничество в Телеграм👇🏻@Imalika08Почта: innaserglite@gmail.com",https://yt3.ggpht.com/D6JZl1OCjl20hkx1UM4pYG58gGC5TQ1wvNBSHIyfzE9yAvzAuBv6NuZcNDjr1ogfblnJwhYtCQ=s88-c-k-c0x00ffffff-no-rj,1757636907,https://www.youtube.com/channel/UCvydDeIzW2UDNO7eCqmmGdw,4850000,2024-11-01,UCvydDeIzW2UDNO7eCqmmGdw,RU
СЛОВО ПАЦАНА,280,Миссия канала: вдохновить людей_____Поддержать канал и стать спонсором из России: https://boosty.to/slovopatsanaПоддержать канал и стать спонсором из других стран: https://www.youtube.com/channel/UC2bhfksrCXjguRr10mpkvag/joinЯндекс.Дзенhttps://zen.yandex.ru/slovopatsanaТелеграмhttps://t.me/slovopatsana_____По вопросам рекламы: aaa@knockin-on.ruСотрудничество и истории: sp_story@mail.ru,https://yt3.ggpht.com/ytc/AIdro_l1vOun8PB4ABPw-rnsID4s3D2eKBTYS46AH_WstT8qDz0=s88-c-k-c0x00ffffff-no-rj,646611260,https://www.youtube.com/channel/UC2bhfksrCXjguRr10mpkvag,4230000,2024-11-01,UC2bhfksrCXjguRr10mpkvag,RU
Макарена,335,Канал Карена Адамяна. «50 вопросов» - интервью в машине и не только. Подпишись и смотри ,https://yt3.ggpht.com/ytc/AIdro_mMQecxEvww5sz0m6Q8jS8cuR_Pkl8Zy36gKMRGEOCSnvE=s88-c-k-c0x00ffffff-no-rj,196534856,https://www.youtube.com/channel/UCKgNnp6G0dlwTS1eR4-77yQ,620000,2024-11-01,UCKgNnp6G0dlwTS1eR4-77yQ,RU
ФОРСАЖ,63,"Собираю коллекцию тачек из ФОРСАЖА Всё в лучших традициях любимого фильма! Fast & FuriousКанал сообщества Дубровский Синдикат.По вопросам сотрудничества, спонсорства или рекламы, писать на почту dubrovskiysyndicate@mail.ru",https://yt3.ggpht.com/2EP1sEXb-uZfmtToIrZpRMmV2NFiPc96U8iabMx0mIb-_Vze8VVWhMOM_OlvOaF6lRdPbTOgJEI=s88-c-k-c0x00ffffff-no-rj,59035090,https://www.youtube.com/channel/UCY5IJ4UB96RPb13LMpJEggA,748000,2024-11-01,UCY5IJ4UB96RPb13LMpJEggA,US
Bulkin Drive,279,"Автомобильные проекты, тест-драйвы тачек, много гонок и экшена :)Сотрудничество и реклама: delovoy_bulkin@mail.ru+79917065725 WhatsApp ",https://yt3.ggpht.com/ytc/AIdro_m9mqCEkkF9plXxNP35Dm7xvVc14uFqKNJ8lz_VnXfepv0=s88-c-k-c0x00ffffff-no-rj,204546267,https://www.youtube.com/channel/UC4Nux1jbudhSm3OTnJ4gocg,1420000,2024-11-01,UC4Nux1jbudhSm3OTnJ4gocg,RU
HOOOTDOGS,505,Две абсолютно разные собаки на миссии по распространению улыбок 🐾 ,https://yt3.ggpht.com/K_3qktPjTAlfiOColsGK_vjBwrwbJ06aMoES67qeTokcAPbEyYoPt9jBMQaYhcxxhq6yMoHV=s88-c-k-c0x00ffffff-no-rj,4168863137,https://www.youtube.com/channel/UCubxWD7pK_GkU9a3aaWmqdg,8490000,2024-11-01,UCubxWD7pK_GkU9a3aaWmqdg,RU
Signature_1m,3107,,https://yt3.ggpht.com/mEdkKPE4GiIXVb36oBVHQY9vtq03DbPV9dagXFHgA3WhpF_A8k1o4SQQAS0MhJOgjgYPPKFJZQ=s88-c-k-c0x00ffffff-no-rj,682846427,https://www.youtube.com/channel/UCi5UoW-5kx367sJxz7K5fFg,1770000,2024-11-01,UCi5UoW-5kx367sJxz7K5fFg,ZZ
GG Animation,587,Funny Minecraft AnimationsGG Animation (Giga Gargantua) ,https://yt3.ggpht.com/9C4ifLXBV3GujilGC207Ul9vGRS_Xa4abwrDghuvnNOJTF_EBAV8hmjLVOY2PY3BqxGa6VDGNg=s88-c-k-c0x00ffffff-no-rj,952206385,https://www.youtube.com/channel/UCfoOUk3V7-Jln-h0FUjbkSw,4350000,2024-11-01,UCfoOUk3V7-Jln-h0FUjbkSw,US
MrLololoshka (Роман Фильченков),3908,"Меня зовут Роман, подпишись!Канал весёлый и интересный!Видео по модам, летсплеям для Minecraft.Иногда могут быть видео по хоррориграм. Улё• По рекламе — lololoshkawork@gmail.com",https://yt3.ggpht.com/ytc/AIdro_m5dTgJ2OOoH_W7hl88vS-XXUCURS8F14jurLeJDW8mwKM=s88-c-k-c0x00ffffff-no-rj,4772171537,https://www.youtube.com/channel/UCAvrIl6ltV8MdJo3mV4Nl4Q,10900000,2024-11-01,UCAvrIl6ltV8MdJo3mV4Nl4Q,US
BABYMONSTER,332,BABYMONSTER Official YouTube Channel베이비몬스터 공식 유튜브 채널입니다.,https://yt3.ggpht.com/79MZT_n38ZBWrEUjhxwjOGVqsTtBLJBmUEojOvTNNcZguBuoxvZtQse-A-D0Kt6GamsYVPCnqQ=s88-c-k-c0x00ffffff-no-rj,2785108912,https://www.youtube.com/channel/UCqwUnggBBct-AY2lAdI88jQ,7200000,2024-11-01,UCqwUnggBBct-AY2lAdI88jQ,KR
Dubrovsky Play,948,"Наберём 5 млн подписчиков? 😏 Для связи в Телеграм: @dub_manager - сотрудничество, реклама. Почта:dubroplayjob@gmail.com - сотрудничество, реклама.",https://yt3.ggpht.com/ItALLvtryRqQEK6cCxf9MnPIMK0W8DrJkm5WqVLwL5stYQVRZNcaLgqHVA418B5grti--8IiNg=s88-c-k-c0x00ffffff-no-rj,659908906,https://www.youtube.com/channel/UC39vKkXIIDsFfbx1__QjOJA,4670000,2024-11-01,UC39vKkXIIDsFfbx1__QjOJA,ZZ
ЯЯНА,151,"ВСЕМ ПРИВЕТ! Рада, что заглянули на мой канал)Почта для сотрудничестваyanazenina.pr@gmail.comМой телеграмм канал - https://t.me/yanazenina",https://yt3.ggpht.com/4WlSnIY1u77RU9M5EbMzuqgubW99NWG-7lcB7RB4I_6PRrG6xNbOJeeZ_GFNOfIqt-LG0wfxReo=s88-c-k-c0x00ffffff-no-rj,281688954,https://www.youtube.com/channel/UCzK8PeP5ERrHUvHQi1Pdr5A,2610000,2024-11-01,UCzK8PeP5ERrHUvHQi1Pdr5A,BY
CG Speak,778,"Мы в ТГ: t.me/cgspeaksПривет! На этом канале ты найдешь уроки рисования для начинающих от и до! Мы расскажем тебе все про фотошоп для новичков, ответим на вопрос: как научиться рисовать?, как сделать рисунок в фотошопе?, как нарисовать человека? и многие многие другие. Мы разбираем такие программы как Photoshop, Krita, Sai и  Clip Studio Paint. Расскажем о том, как сделать 3Д модель и о том, как сделать анимацию. Мы делаем стримы по рисованию и приглашаем известных художников и аниматоров из индустрии! Готовь свой скетчбук или планшет! Твое путешествие началось!Если тебе не нравятся рисунки по клеточкам и ты больше думаешь о том как рисовать аниме или pixel art - подпишись на наш канал!От новичков до pro. По рекламным вопросам писать на почту » pr@cgspeak.ru",https://yt3.ggpht.com/ytc/AIdro_noEZU3p-tJ988JAlzl14mGc1i50OiuazBHIs5Mx2v1bJ4=s88-c-k-c0x00ffffff-no-rj,77322874,https://www.youtube.com/channel/UCDUJu_bQH68A4FXij5P_8MQ,677000,2024-11-01,UCDUJu_bQH68A4FXij5P_8MQ,RU
Лиса Рулит,1038,"ПОДПИСЫВАЙТЕСЬ на мой Дзен: https://zen.yandex.ru/lisarulitМой ТГ-канал: https://t.me/lisarulit777VK: https://vk.com/lisarulit777СТРАХОВАТЬСЯ У МЕНЯ: +7903-969-0737 lisarulit@arezerv.ru, http://www.arezerv.ruМОЙ ВТОРОЙ КАНАЛ: https://www.youtube.com/channel/UC0A70mYNLbL9BHH5ewD6aIgzcqygtjo",https://yt3.ggpht.com/ytc/AIdro_mj-2vDcxsgJXCR3YAZCJvJ3Qvup2k9Mp6IEbm_6eqTkJQ=s88-c-k-c0x00ffffff-no-rj,591386032,https://www.youtube.com/channel/UCwd0QUcZSa5iGjt-v8z5w2g,1850000,2024-11-01,UCwd0QUcZSa5iGjt-v8z5w2g,RU
Dubrovsky Play,948,"Наберём 5 млн подписчиков? 😏 Для связи в Телеграм: @dub_manager - сотрудничество, реклама. Почта:dubroplayjob@gmail.com - сотрудничество, реклама.",https://yt3.ggpht.com/ItALLvtryRqQEK6cCxf9MnPIMK0W8DrJkm5WqVLwL5stYQVRZNcaLgqHVA418B5grti--8IiNg=s88-c-k-c0x00ffffff-no-rj,659908906,https://www.youtube.com/channel/UC39vKkXIIDsFfbx1__QjOJA,4670000,2024-11-01,UC39vKkXIIDsFfbx1__QjOJA,ZZ
Виталий Оpехов,308,"Батя, Подснежник, Фитоняшка Анжела, Братан, Тамара и еще много других личностей живут в теле одного человека. Его зовут Виталий и вы на его канале. Добро пожаловать!",https://yt3.ggpht.com/jZ5FFcMttjq71LAf8cw6540s-pbwSCfiBGBrtRW2vmm2OrDvgl9nwDTOqBgBxTiSGIvURLKfLg=s88-c-k-c0x00ffffff-no-rj,835125751,https://www.youtube.com/channel/UCRkQ5F-b2qU2rYE7-GfGkOA,2910000,2024-11-01,UCRkQ5F-b2qU2rYE7-GfGkOA,RU
Дюшес Team,105,"🔺РЕКЛАМА - duches@avtormedia.ruПартнерские программыВсем привет, ребята!) Это Дюшес Team!) На этом канале мы с командой будем публиковать влоги, челленджи, эксперименты, а так же все то, что осталось за кадром!) Уверен, вам понравится!!!)НАШ ТЕЛЕГРАММ КАНАЛ - https://t.me/duchess_official",https://yt3.ggpht.com/PkwsK2BUjA-YsQL6jNBMroRlmgFSH6rTs1-0krikUnWuKXGIvR1OA37r4IVGxiziaD348A6w=s88-c-k-c0x00ffffff-no-rj,106610238,https://www.youtube.com/channel/UCJwQn49LutwtR0wHaZ5QI_g,1080000,2024-11-01,UCJwQn49LutwtR0wHaZ5QI_g,US
Радио Свобода,27444,"Российское правительство объявило Радио Свободная Европа/Радио Свобода нежелательной организацией. Если у вас есть российский паспорт или если вы лицо без гражданства и постоянно проживаете на территории России, пожалуйста, учтите, что вам грозит штраф или даже ограничение свободы за следующее: – шэры и репосты публикаций РСЕ/РС  – лайки под постами РСЕ/РС  – цитирование контента РСЕ/РС  – комментарии под постами РСЕ/РС – отправка сообщений РСЕ/РС – воспроизведение логотипа РСЕ/РС Однако вы можете безопасно нас читать, подписываться на нас, смотреть наши видео. ",https://yt3.ggpht.com/5ZACYlUFpBSPO0b8DPxetdxbBrUE0CVKDJDpIc5uwme5ouOuPL9OvsBask1GHtrRMXjJIi3VuQ=s88-c-k-c0x00ffffff-no-rj,3112259623,https://www.youtube.com/channel/UCiWMFQCGvwGSc8QWHOqcQhw,4350000,2024-11-01,UCiWMFQCGvwGSc8QWHOqcQhw,CZ
Utopia Live,131,По вопросам рекламы:utopiashow.adv@gmail.com,https://yt3.ggpht.com/ytc/AIdro_nScAn8KCUHxx0JK8VzLERvAoy_u1QscLnoLCMC3xxJ31o=s88-c-k-c0x00ffffff-no-rj,51333684,https://www.youtube.com/channel/UC1tGyMwuF6hUHRp2syrADOQ,1040000,2024-11-01,UC1tGyMwuF6hUHRp2syrADOQ,ZZ
Alexey Arestovych,2443,,https://yt3.ggpht.com/ytc/AIdro_mnwzJrQLMuO-5MhdoY63FNQP_ymaBY0EwYhM-1kk70Tw=s88-c-k-c0x00ffffff-no-rj,778917366,https://www.youtube.com/channel/UCjWy2g76QZf7QLEwx4cB46g,1830000,2024-11-01,UCjWy2g76QZf7QLEwx4cB46g,UA
Дима Гордей,946,"Салют! Меня зовут Дима Гордей и это мой Youtube канал, который я веду уже 10-ый год! Снимать я начал ещё работая в цирке в Германии, рассказывал тогда про местную жизнь и BMX, затем вернулся в свой родной город Санкт-Петербург, где погрузился в автомобильную движуху... дрифт, драг, тюнинг, тачка на прокачку и т.д. На данный момент живу в Москве, снимаю про совой тачки (Ламборгини 1000 сил, GT-R, жигу), много путешествую и стараюсь нести максимальный позитив в нашем нелегком русском ютюбе. Думаю каждый найдет, что-то полезное для себя. Буду рад новым подписчикам! :)ЗАКАЗАТЬ РЕКЛАМУ - pr.gordey@gmail.com +7 999 679 44 55 (telegram,whatsapp)",https://yt3.ggpht.com/TP9GHIbMFLQEEUMR0m5AwFjsW-UKDLwygBhhRmvH22r2YHd9gDYJzhP8j8XYG8XI9fNdpIJLfg=s88-c-k-c0x00ffffff-no-rj,1444465884,https://www.youtube.com/channel/UC-Osiqly2kWjXcB6ElD2iCQ,7960000,2024-11-01,UC-Osiqly2kWjXcB6ElD2iCQ,RU
Бадабумчик,47,Всем Салют! Добро пожаловать на канал «БАДАБУМЧИК»!Меня зовут Влад и я обладатель самой шикарной прически.Надеюсь ты здесь задержишься. Хорошего тебе дня!Телега: https://t.me/badabum4iПартнер ETC AGENCY!По вопросам рекламы и сотрудничества:site: https://et-cetera.agencymail: badabum@etc-agency.comtg: etc_agencyСотрудничество: stassemcenko@gmail.com,https://yt3.ggpht.com/7wzTXNkqCUWeqXEAkOuov6w24RwqnlxU6SoW-AsRdSyGhWsVLjH1A88M6vyygHK8EeooRBUn=s88-c-k-c0x00ffffff-no-rj,95543481,https://www.youtube.com/channel/UCoGSDYSipkPYfj93crGSOwg,1520000,2024-11-01,UCoGSDYSipkPYfj93crGSOwg,BY
Pro жизнь,58,,https://yt3.ggpht.com/-A_2OdSN2RxRHmnzJek_TsmW0Llsq_1liYyFCdvLG860Gp7uzcqzE73mh0IkHxo3GO2Ci9pg=s88-c-k-c0x00ffffff-no-rj,9930700,https://www.youtube.com/channel/UCnXuj5Q9vmJjNbgkQw9qgnA,28500,2024-11-01,UCnXuj5Q9vmJjNbgkQw9qgnA,ZZ
MDKTRIO,365,ASMR videos every day🔥🔊Candy for subscription🙌🍭,https://yt3.ggpht.com/VHy3v_G0lCQoAQ8tc-h3DuoXhpNw0ZAYYT9gXV6BRTOTUWXKCl8JV3-hZmH4GsayGtoqemPB9w=s88-c-k-c0x00ffffff-no-rj,304619749,https://www.youtube.com/channel/UC6S_LVqciNzftYE_tpcGe_w,576000,2024-11-01,UC6S_LVqciNzftYE_tpcGe_w,US
Симбочка Пимпочка,759,😸⬇️Давайте наберем 15 МИЛЛИОНОВ! Подпишись!⬇️😸Мяяяу!Сотрудничество по рекламе: pr@pimpochka.com4f239f98-7ca6-432e-ac8d-2585bf3672da,https://yt3.ggpht.com/vmyWxyVTes9rrBkODThCxdH_jZvp0z81r6J74QGIzC1mB1Wp06Q8eVjL4xOauNRwvk42jHTibA=s88-c-k-c0x00ffffff-no-rj,6713226133,https://www.youtube.com/channel/UC4IPy7-vQCG2WAHn1qjZYvA,13900000,2024-11-01,UC4IPy7-vQCG2WAHn1qjZYvA,US
GARAGE 100,426,"Это канал о самоделках для домашнего хозяйства, которое я  делаю своими руками у себя в гараже.Здесь МНОГО ИНТЕРЕСНОГО!! Самоделки домашнего мастера, полезные самоделки, ютуб самоделки, домашние самоделки, самоделка видео, самоделки своими руками, мастер самоделки, своими руками из хлама, полезная самоделка, своими руками.Сделайте и себе самодельный инструмент с которым будет просто работать в гараже или в мастерской! Пользуйтесь полезными советами и хитростями!  И я надеюсь вы не будите скучать.)))))) Присоединяйтесь и будем начинать!!!",https://yt3.ggpht.com/ytc/AIdro_n6lWDQ-g3kHmDpG56hn8x1gEVenmgIGGioEfCxoVB-pqc=s88-c-k-c0x00ffffff-no-rj,286392149,https://www.youtube.com/channel/UCJtpOu1ME42zh5IqBJur9NA,805000,2024-11-01,UCJtpOu1ME42zh5IqBJur9NA,US
НОВОСТНИЧОК,1017,"Главные новости мира, важные события и происшествия - всё самое интересное, что происходит вокруг нас каждый день, собирается на канале Новостничок и выходит в формате Шортс ежедневно! Смотря Новостничок вы будете в курсе всех главных новостей, тратя на их просмотр буквально по нескольку секунд!",https://yt3.ggpht.com/8d4UKRM5ONVnXFbhOg0ZMzb6r52vdvOXJUZRChy0hsGMqb-SvdNPA92I9g59cQvaC-cuXVyu0g=s88-c-k-c0x00ffffff-no-rj,5394119116,https://www.youtube.com/channel/UCi2_q03LmlBCVvIYFybq3Fw,2230000,2024-11-01,UCi2_q03LmlBCVvIYFybq3Fw,US
Алексей Столяров,665,"Привет, меня зовут Алексей Столяров, и здесь самый крутой СПОРТИВНО-РАЗВЛЕКАТЕЛЬНЫЙ КОНТЕНТ ВЫХОДИТ ДЛЯ ТЕБЯ❤️Подписывайся, чтобы не пропустить новые выпускиПо вопросам рекламы и сотрудничества писать сюда: stolyarov@easyagency.ruПо личным вопросам пишем сюда: fitnessstoliarov@mail.ru",https://yt3.ggpht.com/QUdMP_8dvRNyRqG1co3RPESU6taDUYf4v410Bfo0egf9aOdCsBtaJ870mZoMpoekkZoj-VSV=s88-c-k-c0x00ffffff-no-rj,739566010,https://www.youtube.com/channel/UCJsOVd61dzow401WI1hR-kg,4830000,2024-11-01,UCJsOVd61dzow401WI1hR-kg,RU
ESL Dota 2,2132,Welcome to the home of ESL Dota 2 on YouTube! Be sure to subscribe to keep up to date with all of the lates Dota 2 action from around the world.,https://yt3.ggpht.com/FY55uOTphtczaYYVBa6ooH_Vpzp3oxAp1s905iu00AZ9hcgNc3pBSMnvEEz8fuKoP4HBIUfTqQ=s88-c-k-c0x00ffffff-no-rj,157199448,https://www.youtube.com/channel/UCaYLBJfw6d8XqmNlL204lNg,285000,2024-11-01,UCaYLBJfw6d8XqmNlL204lNg,DE
팀일루션 노성율,1101,당신의 인생을 도전하세요. Life is a challenge ✨[ 트릭킹 | 아크로바틱 | 파쿠르 | 스턴트 | 무용테크닉 ][ Tricking | Acrobatic | Parkour | stunt | Dance Skill ]💌 Business Mail: 1llusion.soon@gmail.com☎️ 학원문의 🔸 팀일루션 강남점 - 0260325552🔹 팀일루션 일산점 - 0319035552🏠 스튜디오 상세정보 - http://1llusion.modoo.at​​1824,https://yt3.ggpht.com/z5dt247yLnIVrwRSmJmle5nrW7zAc6NYEAVUzgz3rhW7A5anJGGHwpZfhkjV2crQ2bGWmNZypw=s88-c-k-c0x00ffffff-no-rj,9370605307,https://www.youtube.com/channel/UCtctOXlHYeQyuXSgW861nMA,8260000,2024-11-01,UCtctOXlHYeQyuXSgW861nMA,KR
YOUNG,540,"Йоу, Олды тут? Меня зовут Янг, но в жизни все почему-то называют меня Рома! А ещё я снимаю видео от первого лица, но это лучше увидеть, чем услышать, так что бегом смотреть🤪Реклама, сотрудничество:📩 личная почта - rwwcoop@gmail.com📩 по вопросам рекламы - young@bbf.media📩 телеграмм - https://t.me/cooprww📌 при запросе укажите пометку YOUNG, спасибо!",https://yt3.ggpht.com/eb6IVojVtNcHtAmYcxVbjZQHK-FfiUr74NBDfdWNz_eOLTOJb65mns4VVztXJ2xIdUER1CXOdA=s88-c-k-c0x00ffffff-no-rj,411201065,https://www.youtube.com/channel/UCo0gqwjsVtBtlj1jLZOnyHA,2440000,2024-11-01,UCo0gqwjsVtBtlj1jLZOnyHA,RU
Vivziepop,279,"Heya! My name is Vivienne, and I like to animate cartoons and songs!I am a grad of SVA in NYC, majoring in traditional animation, and I animate films based on the silly characters I keep coming up with! I have also taken to trying to fan animate some songs every now n' then. Songs that give me inspiration or direct visuals! I adore musicals and villains and animals, can't you tell? Hope you enjoy! c:FAQ:What programs do you use? TV Paint for animation, Adobe premiere, After effects, Sai and Photoshop!When is your next animation? Animation takes time, but I'm almost always working on something! Soon as I can finish you'll see it!What are these characters you draw from? They are from my various projects, I have TONS of projects!Why is your taste in music such shit? It's cause it's my taste in music, it's not yours. I choose what songs I LOVE so they aren't shit to me!CURRENT PROJECTS: Hazbin Hotel (comedy/Musical series) -IN Production-",https://yt3.ggpht.com/6_-7KKhSxQHr3hL3R91hUPqphwpwOsNQZgVQM7l1trAPIKEkSsPJoaejSrTfdUw550OHMkypVA=s88-c-k-c0x00ffffff-no-rj,1475034468,https://www.youtube.com/channel/UCzfyYtgvkx5mLy8nlLlayYg,10400000,2024-11-01,UCzfyYtgvkx5mLy8nlLlayYg,US
Better Voice,133,Стараюсь делать что-то весёлое.,https://yt3.ggpht.com/ytc/AIdro_mJc7xMhwW1YThLcMvfBK3Da768AFYBndhk2aHYSh6SbSc=s88-c-k-c0x00ffffff-no-rj,161563033,https://www.youtube.com/channel/UCq3PlGB0_e6jTc9Jr2Al7LQ,734000,2024-11-01,UCq3PlGB0_e6jTc9Jr2Al7LQ,DE
