Titulo,Numero_de_videos,Descricao,Imagem_de_perfil,Numero_de_visualizacoes,Link,Numero_de_inscritos,Data,Canal_ID,Pais_codigo
For Crafts Sake Shorts,1178,"Welcome to our YouTube channel all about DIY ideas like restoration, metalworking, woodworking, epoxy resin and many more. If you're a DIY enthusiast, or just someone who loves finding creative solutions to everyday problems, then this is the channel for you. We'll be sharing a variety of DIY projects and hacks that you can do at home, from furniture makeovers and home decor ideas, to life hacks and organization tips. Whether you're looking to save money, or just want to have some fun and get creative, you'll find something here to inspire you.",https://yt3.ggpht.com/bxBYAnD32q5SQ8CHeSp70yBJ_075WaUlLDKoQH-fGeykI7l7OZ0h_ErXsYpFd_UP720H0-JNLQ=s88-c-k-c0x00ffffff-no-rj,903383147,https://www.youtube.com/channel/UCl2vI5yLr6gKqfrovexHzTA,1050000,2024-11-01,UCl2vI5yLr6gKqfrovexHzTA,US
Thoren Bradley,232,Evidence based fitness and health advice that you can easily apply everyday....while living a rural and outdoor friendly existence. ,https://yt3.ggpht.com/ytc/AIdro_legmKYo0mNnnD5PBwAEolXxuYcmJlw91n3nuQjX79AQkUu=s88-c-k-c0x00ffffff-no-rj,462395298,https://www.youtube.com/channel/UCptS0fmTEUlGcDSFiTbRsQg,999000,2024-11-01,UCptS0fmTEUlGcDSFiTbRsQg,ZZ
25KTHEPLUGVEVO,34,,https://yt3.ggpht.com/ytc/AIdro_nzh3LNgj4qg7OoqmILTrf79eWsR32c8zMSXEGAuSejhf0=s88-c-k-c0x00ffffff-no-rj,11999506,https://www.youtube.com/channel/UCMY6MUelcrXGz5rk4Kyb09w,23000,2024-11-01,UCMY6MUelcrXGz5rk4Kyb09w,ZZ
STORROR,1052,"Official STORROR YouTube. Always on a mission™Team Members (Photo left to right)   - Drew Taylor  @DrewFTaylor- Callum Powell  @CallumStorror- Toby Segar  @TobySegar- Sacha Powell  @SachaKPowell- Joshua Burnett Blake  @JoshuaStorror- Max Cave  @MaxStorrorCave- Benj Cave @BenjCaveFor all commercial, press related enquiries and to work with Storror, please contact our management - team@storror.com",https://yt3.ggpht.com/ytc/AIdro_ltdJVEIXgRNUmy8xSEVDVj_9jWo6g631dRQc_7Pmux92Q=s88-c-k-c0x00ffffff-no-rj,3123007404,https://www.youtube.com/channel/UCdPui8EYr_sX6q1xNXCRPXg,10500000,2024-11-01,UCdPui8EYr_sX6q1xNXCRPXg,GB
Omar Raja - ESPN,3779,The best place for behind the scenes content in sports! Business: workwith@omarraja.com🔥 Now at ESPN📱Founder of House of Highlights,https://yt3.ggpht.com/GgWunh8IHH5trp1b84O-ZnK19V-Rb9KZF2WUQMnyP_30_t3JhXumu5pPB_aWle-8sfURrIiSYg=s88-c-k-c0x00ffffff-no-rj,23696074293,https://www.youtube.com/channel/UCx18ywTcohtS9lpNXt8noWQ,14100000,2024-11-01,UCx18ywTcohtS9lpNXt8noWQ,US
MDM Sketch Comedy,409,"🇿🇦 Mthandeni Mahlaba is a comedian, filmmaker Animator, writer and an actor. Subscribe to see more!!!",https://yt3.ggpht.com/71460mLcSYIw0fAFC78kfoSpNE3lQBx3EusEAiE3gHeE6kqx3erBNCRthgpH1ms-tbnRnSKN=s88-c-k-c0x00ffffff-no-rj,362924690,https://www.youtube.com/channel/UCedZvSQVma70F1O67NOuYZw,1070000,2024-11-01,UCedZvSQVma70F1O67NOuYZw,ZA
Nam Phương,3996,Action Actor - Model - Tiktoker - Youtuber------------------------------------------------------------------Nhấn đăng ký theo dõi để xem những video mới nhất của NAM PHƯƠNGContact for work: 0905948446#namphuong #eaglesacademy #vothuatdienanh #vothuat #hanhdong #tuve #masterkungfu #haihuoc #tuvethucchien #dienxuat #action #funny #shortfilm #actionfilm #beneagle,https://yt3.ggpht.com/SUgcBVqF1KJwtv7IEnVP8mG6z-_1Q3bV8bThcxsvFgV6okGr8EydFX7boUMF__sM_TIZADwcFg=s88-c-k-c0x00ffffff-no-rj,4600157156,https://www.youtube.com/channel/UCVhoKlfJtHesO0m5rlw7-5Q,11200000,2024-11-01,UCVhoKlfJtHesO0m5rlw7-5Q,VN
Africori,1833,"THE HOME OF AFRICAN MUSIC. Africori is the #1 destination for independent African artists and labels from across the continent and in the Diaspora.OUR ROOTS RUN DEEP. Africori was launched in 2009 in response to the lack of opportunities available for African artists operating in the then-nascent digital industry.LOCAL AND INTERNATIONAL. With offices in Johannesburg, London and Lagos and representatives across Africa, we’re positioned precisely at the intersection between Africa and the global music industry.",https://yt3.ggpht.com/96IOIjeXj_aLa9V1-aKGTIkALGh6bRp3SDtRqIesBgw_sqPUxswf3qZc-gLWxyVHnXk4QVjdJw=s88-c-k-c0x00ffffff-no-rj,244440716,https://www.youtube.com/channel/UCChueHq0vtAIDSEgq4GKbSw,618000,2024-11-01,UCChueHq0vtAIDSEgq4GKbSw,ZA
La La Learn,317,"FUNNY EDUCATIONAL SONGS THAT KIDS CAN LA LA LEARN!Subscribe to this channel and let's watch adventures of Bibi and Dim!And follow them on TikTok:- Bibi - https://vm.tiktok.com/ZMeq2ebSs/(@bibi.lalalearn)- Dim - https://vm.tiktok.com/ZMeqYp2FX/ (@lalalearn.dim) Nursery Rhymes for kindergarten, preschoolers and children any age. Dance with our songs.​#kidssongs #colorsong ​ #nurseryrhymes​ #kidssong #babysong #nurseryrhymessongsYou will find here a lot of fun, educational songs and stories for kids! Learn colors, numbers, alphabet, animals. Sing and dance with us!-funny phonics songs for dancing-number songs-color songs-morning work-out for kids- alphabet songsSubscribe and have fun with us https://bit.ly/3hwtuVtEasy way to educate your kids!",https://yt3.ggpht.com/bvvexkYtJoV5TxrZid8qY6pnTbJIan5UcogU9C2PdljW2PHOxAlRK5EWh6hd7gSJwpz6NKTogg=s88-c-k-c0x00ffffff-no-rj,1916001576,https://www.youtube.com/channel/UCixexRrgWKp8lC-oW1s2RcQ,2250000,2024-11-01,UCixexRrgWKp8lC-oW1s2RcQ,US
Cool Items Official,752,"Welcome to the 【Cool Items Official】 Channel! 🏠✨This is an exciting world of family-themed product recommendations. Through our videos, we recommend various practical and interesting household items and demonstrate their applications and fun in daily life. Each video is meticulously produced, and we hope you can find inspiration and useful advice in them. 🎥😊We highly value interaction with our audience; every comment and like from you is our motivation to keep creating. 🌟If you like our content, please make sure to subscribe to the channel and click the bell icon 🔔 to interact with us and share your thoughts and suggestions. 💬Join the 【Cool Items Official】 family and explore and share those items that make life better! 🌈All videos are authorized by creators from Mainland China and strictly comply with platform regulations. 🛡️",https://yt3.ggpht.com/T_BbekPbQecAQoQX967wUz0Sx79rhm9h9Mc5TvATZe39pTXuVIRWH2ND1m9yHyemZzUl_w5VzA=s88-c-k-c0x00ffffff-no-rj,4166003468,https://www.youtube.com/channel/UCyGlHNYIsiXV47jUbvYA5DQ,5500000,2024-11-01,UCyGlHNYIsiXV47jUbvYA5DQ,US
triplets - 胡家三千金,142,👧🏻同卵三胞胎：晨晨 桐桐 琪琪🌸記錄三小隻的成長趣事💕喜歡三小只，別忘記追蹤我的頻道~🔔開啟小鈴鐺第一時間接收三小隻最新動態~这里是【triplets - 胡家三千金】官方正版频道~YouTube唯一官方账号，其他都是假号！（我太委屈了，假号粉丝多的离谱……）,https://yt3.ggpht.com/uuFzlOnfxbBZ9XiI9bApL5Q8hxIjS-dI2Jmz0yYIlj-aiSgVlfybP-6xHhpXcrVsUnH_Kprw=s88-c-k-c0x00ffffff-no-rj,484238068,https://www.youtube.com/channel/UCYmz7Jj0lJvyKKRKF5fJNMA,1110000,2024-11-01,UCYmz7Jj0lJvyKKRKF5fJNMA,HK
Анастасия Тарасова,516,Funny girl🤗Cooperation — anastasiatarasova98@gmail.com,https://yt3.ggpht.com/36nK-9Ba6hV44GCtEMs7pvQRhRs_mGzM2lK8sdegzfjh5GqQhKqXJ9DYv3iud8dnMRU9ZtWC=s88-c-k-c0x00ffffff-no-rj,2648238809,https://www.youtube.com/channel/UCvz-0L3eEcpwFjL0WSzKS8A,2980000,2024-11-01,UCvz-0L3eEcpwFjL0WSzKS8A,US
Triple Charm,1156,3 Sisters just doing what we love! Thanks for watching & don’t forget to Subscribe!!,https://yt3.ggpht.com/aAsWeerq4ZFSPduE5ESulGcuh6ug2wucWhLAXCGij8VvhDVNXvgECkf5zuWrSsqcSDpKrq8BKA=s88-c-k-c0x00ffffff-no-rj,8506223954,https://www.youtube.com/channel/UCVVMMNVUwHbxljqi-xZ-jig,11400000,2024-11-01,UCVVMMNVUwHbxljqi-xZ-jig,US
The Royalty Family,796,"Welcome To THE #ROYALTY FAMILY Youtube Channel. We are a modern blended family based in Los Angeles that love to entertain you. We believe in family, fun, Love and are passionate about fashion, comedy and culture. Join us every week in sharing the good times of Andrea, Ali Saleh, Ferran and our Chihuahua Princesa. Best of all, we believe everyone can be ROYALTY so don’t forget to SUBSCRIBE!!FOR BUSINESS INQUIRIES EMAIL HERE  ➡ Royaltyfambusiness@gmail.com",https://yt3.ggpht.com/4bd4uTnsLgMv5x1eRrEfh8bu_7Wf45rkrbsteMs06f2r4SEj0smqML32Ub3pHihsgnk_hWSv=s88-c-k-c0x00ffffff-no-rj,8940007096,https://www.youtube.com/channel/UCja7QUMRG9AD8X2F_vXFb9A,26800000,2024-11-01,UCja7QUMRG9AD8X2F_vXFb9A,US
Man City,8713,Subscribe and get closer to Manchester City than ever before!,https://yt3.ggpht.com/U9x-_BMoXJBPf9RWEab_TEu2TX1o1plDjeY52_BQVshkLYDtiQkCo3MVZsmq5X0gf0cTvRkFig=s88-c-k-c0x00ffffff-no-rj,2143393702,https://www.youtube.com/channel/UCkzCjdRMrW2vXLx8mvPVLdQ,7800000,2024-11-01,UCkzCjdRMrW2vXLx8mvPVLdQ,GB
Blue Man Group,439,"We are Blue Man Group and we're here to expand your mind on music and sound. Follow along as we create music with unique instruments and objects and have some laughs along the way. Stalk us on social (we know you want to):Tik Tok: https://www.tiktok.com/@bluemangroupInstagram - https://www.instagram.com/bluemangroup/ Facebook - http://facebook.com/bluemangroupTwitter - https://twitter.com/bluemangroupExperience Blue Man Group live in Las Vegas, New York, Boston, Chicago, Berlin and around the world! https://www.blueman.com/",https://yt3.ggpht.com/uMhRprnVHp7wLRp4IEaaCLYzxJRhAvb6qb-PwCJwKBQI9PT0rBWjbLcL-WwX0tPnCf0pRtPKhss=s88-c-k-c0x00ffffff-no-rj,311129649,https://www.youtube.com/channel/UCuYuDPGBlNREcNXy5cK02Qw,857000,2024-11-01,UCuYuDPGBlNREcNXy5cK02Qw,US
Sick Science!,761,"About Steve Spangler…Steve Spangler a bestselling author, STEM educator and Emmy award-winning television personality. Spangler is a frequent guest on the Ellen DeGeneres Show and the host of his own syndicated television series called DIY Sci. Steve posted the original Mentos & Diet Coke video in September 2005 when YouTube was only 3 months old. Steve’s catalog of videos featured on YouTube, Facebook, Instagram and now TikTok have over 1 billion views, and his books and online experiments are widely used by parents and educators to increase student engagement and inspire young scientists to learn more about STEM-based careers.Steve created the SICK Science series in response to his students saying, That's sick! whenever something cool happened in class. Google recognized the SICK Science channel as one of the originators of the hands and pans video styles now popular on cooking and craft channels.Learn more about Steve Spangler at https://linktr.ee/stevespangler",https://yt3.ggpht.com/LbyfH_SgW_90vJkl-Oe2-dd2xk7yYdORuKPTfTc-Nr6GCNXuV6BRNakxZ_NMedfOLwZJ9yFI=s88-c-k-c0x00ffffff-no-rj,1314821679,https://www.youtube.com/channel/UCDom90xOqP4avehFjSJO6NA,1810000,2024-11-01,UCDom90xOqP4avehFjSJO6NA,US
