Titulo,Numero_de_likes,Numero_de_visualizacoes,Descricao,Numero_de_comentarios,Data,Video_ID
Отечественный Суперкар Маруся! Оживляем легенду,91173,1901753,"Давно у нас на канале не было редких и уникальных авто. И тут, как по заказу, пишет Гриша Завозин и просит помочь ему оживить его реликвию - уникальный Российский спорткар Маруся.  Производился он с 2007 по 2014годы, затем компания обанкротилась. Таких авто в РФ не было ни до, ни после. Само собой, от таких предложений не отказываются! Поэтому, бросаем все (буквально) и едем оживлять :)Ильдар Авто-подбор это официальный канал группы компаний АП. Работаем c 2013 года. По всей России. Чем мы можем Вам помочь:✔ Подбор автомобилей с гарантией. Проверка по 105 пунктам. Экспертиза, оценка авто: https://podbor.org✔ Страхование по всей России ОСАГО/КАСКО: https://ins.podbor.org✔ Автосервис. Ремонт, обслуживание авто в Москве: https://service.podbor.org✔ Вкуснейший натуральный Мёд с пасеки моего отца: https://honey.podbor.org✔ Хочешь работать в нашей компании? Го сюда: https://job.podbor.orgДля тех, кто хочет поддержать наш Благотворительный проект: https://podbor.org/charity/Обращайтесь! Мы всегда Вам рады!",6933,2024-11-01,s4K0bkqRmfg
СОБАКА ОТОМСТИЛА ЗА ТАБАЛАПКИ😱#shorts,12209,387469,,116,2024-11-01,yZBzZbiQg3c
ТАЙНО ВОССТАНОВИЛИ ПОБЕДУ ДЕДУШКЕ. Она досталась ему ещё от отца!,147310,968204,"Объединяй близких в одной опции и получай дополнительные ГБ от МегаФона - https://clck.ru/3EGv3NРеклама. ПАО МЕГАФОН, ИНН: 7812014560. erid: LjN8JwFV2_____Смотри нас эксклюзивно на RUTUBE: https://clck.ru/3EKnBhРеклама. ООО «РУФОРМ» (ОГРН 1127747031840). RUTUBE®️. 18+, erid: 2VtzqvL7coe_____Забронировать дом в ТРОФИМОВ БЕРЕГ можно на сайте: https://trofimovbereg.ruРеклама. ИП Трофимов Роман Витальевич, ИНН 772090294254, erid: LjN8KNY1E_____В прошлом ролике нам чудом удалось забрать у дедушки, его подругу, автомобиль ГАЗ-М20 Победа 1956г выпуска.Эта машина досталась ему еще от отца и всю жизнь была в их семье. Мы сказали дедушке, что забрали машину для съемок фильма, и в целом мы его почти не обманули. Ребята с канала Форсаж www.youtube.com/@forsazh за 3 недели сделали практически невозможное - восстановили автомобиль! Реакция дедушки говорит обо всём!_____Подробнее о том как восстанавливали машину смотрите в ролике у Антона: https://youtu.be/9MVx90zRoOcПоддержите наших друзей и подписывайтесь на канал ФОРСАЖ:  www.youtube.com/@forsazh  _____Подписывайтесь на наш телеграм-канал: https://t.me/slovopatsana_____Ссылка на наш второй канал Слово пацана 2.0: https://www.youtube.com/@slovopatsana2_____Стать спонсором - https://boosty.to/slovopatsanaИз других стран - https://www.youtube.com/channel/UC2bhfksrCXjguRr10mpkvag/joinПомочь каналу (на добрые дела) - 2202 2025 2294 3368 (Сбербанк)PayPal - slovopatsanapaypal@gmail.com (Эдгар)QIWI - +79639660705USDT (TRC20) - TJ31zT5rEs157X43N84d4AprM7rmWTynKA_____Яндекс.Дзен - https://zen.yandex.ru/slovopatsanaИнстаграм https://www.instagram.com/slovo.patsanaVK Димы https://vk.com/dmitriyvideographerГруппа VK https://vk.com/public175204338VK Ромы https://vk.com/romaromanya_____По вопросам рекламы: aaa@knockin-on.ruСотрудничество и истории: sp_story@mail.ru#СЛОВОПАЦАНА #Победа #автомобили",14349,2024-11-01,PlUbSXRLfbA
"Виктор Дробыш – фраза, которая обидит певицу Валерию #50вопросов #shorts #интервью #музыка #песня",2328,126300,,92,2024-11-01,uypsfvEuFtw
РАРИТЕТ 1956 года! Сдержал СЛОВО ПАЦАНА и восстановил тачку…,70525,622017,"Подробнее ознакомиться с линейкой ноутбуков OSiO CyberLine: http://surl.li/lswtyhЗа авто иди на Дром🚗 https://drom.ru/s/nsD 🚗Купи авто по отличной ценеПодобрать антифриз FELIX для вашего авто можно на сайте — https://bit.ly/3AkGpFXПодробности акции — https://bit.ly/3NJIhesА по промокоду FORSAZH скидка 10% на FELIX на Озон — https://ozon.onelink.me/SNMZ/wbiqaewaРеклама. Рекламодатель: ООО АйСиЭл Техно, ИНН 1624014670, erid: 2Vtzqv5K59nРеклама. ООО АМАЯМА АВТО, ИНН 2536125566, erid: LjN8KDqvFРеклама. ООО «ТОСОЛ-СИНТЕЗ ТРЕЙДИНГ», ИНН 5249046147. erid: LjN8KErk7---------------------------ФИНАЛ истории про Победу и её Владельца на канале Ромы: https://youtu.be/PlUbSXRLfbAПоддержите наших друзей и подпишитесь на канал СЛОВО ПАЦАНА:  @slovopatsana  ---------------------------По вопросам рекламы, сотрудничества:DubrovskiySyndicate@mail.ruАренда автомобилей: https://dubrovskiy-syndicate.com/rent/explore-vehicles/Антон: @skrypnikovantonГруппа Телеграмм: https://t.me/forsazh_youtubeГруппа ВКонтакте: https://vk.com/forsazh_youtubeЯндекс Дзен: https://zen.yandex.ru/fastandfurious—#случилсяфорсаж#ДубровскийСиндикат",5037,2024-11-01,9MVx90zRoOc
Я КУПИЛ САМЫЙ МОЩНЫЙ TESLA CYBERTRUCK! МОЯ САМАЯ ДОРОГАЯ ПОКУПКА!,58636,836554,"Помощь на дорогах от Т‑Страхования — https://l.tbank.ru/bulkinocttRotorMine - оригинальные часы и ювелирные украшения. Моим подписчикам скидка 500$ при подписке на канал https://t.me/+xijLnkepADljNzQyTesla Connect - эти ребята привезли мне Cybertruck: https://teslaconnect.ru/ДОБРАТЬСЯ ЛЮБОЙ ЦЕНОЙ смотри ЭКСЛЮЗИВНО НА RUTUBE: https://rutube.ru/video/779e6443cd8e0c724fd2341a1cc4c877/?erid=2VtzqvttQFE=========================Будь в курсе всех новостей:Подпишись на мой Телеграм Канал: https://t.me/bulkin_liveМой развлекательный канал: https://www.youtube.com/user/xBulletGTxПо вопросам рекламы: delovoy_bulkin@mail.ruWhatsApp +79917065725Реклама. ИП Якушенко Андрей Вячеславович. ИНН: 280882691873, Erid: LjN8KBBD1Реклама. АО Т-Страхование, ОГРН 1027739031540. Erid:  LjN8K32Q8Реклама. ООО «Амаяма Авто». erid: 2VfnxxquGmn",6896,2024-11-01,T8a-QU7b0vg
ОСКАР И ДЖОНИ ЗАВЕЛИ ПИТОМЦА 😍,35661,714088,"Снимать контент стало еще проще с TECNO PHANTOM V Flip2 5G😍 с системой FreeCam больше не нужно переживать, что будет некому запечатлеть вас со своим любимым питомцем, ведь фото можно делать самому, управляя камерой голосом, жестом или даже улыбкой! Поймать классный момент стало в разы проще! А еще можно делать селфи на основную камеру даже сложив телефон, и при этом качество снимков будет офигенным 😍Но мое любимое, это поселить питомца на внешний экран! Я бы очень хотела иметь дельфина, и теперь он у меня есть и у собак😂 ну что, как назовем? 🐬",51,2024-11-01,p4xeiczIaBk
How to sign the letter A?❤️,27733,972869,,446,2024-11-01,l-KQ57RA3n4
Triple kill😹,227211,6573768,,298,2024-11-01,8PYhHyyKbWQ
Lp. Сердце Вселенной #39 СТРАШНЫЙ СОН [1.000.000 лет назад]• Майнкрафт,98042,814076,"В этой серии мы попадём в страшный сон, которому... ОКОЛО МИЛЛИОНА ЛЕТ?!👽 Мой Мерч: https://mirohodec.ru/ (Доставка в любую точку России и не только)Плейлист сезона: https://www.youtube.com/playlist?list=PLpYwltiByWUtaKekim4ZcgbSvZ-74BbysПриветствую! Добро пожаловать в Дарк фэнтези! Перед вами первая сборка на версии 1.20.1 специально для нового сезона Сердце Вселенной. Сегодня, впервые за все сюжетные сезоны, мы окунёмся в атмосферу мрака, страха и... НЕИЗВЕСТНОСТИ! Меч в руки и вперёд! Если перестанешь двигаться, навсегда погрязнешь в пустоте, из которой, как поговаривают, невозможно выбраться! Мироходец по имени Лололошка готов, но готовы ли вы? Или, может, вы хотите вечно жить в неведении и навсегда остаться измерение сновидений? Дамы и Господа, сегодня нас ждут новые приключения, история, глубины вселенной и ОГРОМНЫЙ КУСОК ЛОРА. Большая просьба, не забудь ПОДПИСАТЬСЯ и ПОСТАВИТЬ ЛАЙК, это огромная мотивация для всей команды. Мы правда стараемся... Надеемся это заметно! Эксклюзивные интересные моды, проработанный лор и все детали, которые требуют большой отдачи и любви, просят вас не забывать, что ваша мотивация — Лучшее Топливо!• Магазинчик Лололошки: https://lololoshkashop.net/goods/minecraft-sajtСнимаем тут: http://streamcraft.net/launcherМой ВК: https://vk.com/mrlololoshkaТвой арт на превьюшку скидывать сюда: https://vk.com/album-39408465_287365287?rev=1Инстаграм: https://www.instagram.com/lololoshkause/",5587,2024-11-01,U_VjYHzp5oQ
BABYMONSTER - 'DRIP' M/V,1008021,17023747,"DRIPWhen I dress I don’t think so muchI could be the GOATI don’t need too muchI’mma set a goalI’mma eat that lunchBaby so cold get that ice cream truck찌릿찌릿 끼리끼리 놀아볼까Kitty kitty yeah we gonna run this townHittin’ me up cause I got what they likeBaby got no chance better hit that danceMmm, na-na-naI’ll be there 고민하지 마Uh, na-na-naI’ll be there 망설이지 마But you don’t know ’bout meYeah yeah, you gon’ know ’bout me boy아름다운 별들이 빛나는 밤이야Mmmh, what you say끝없는 가치You know it’s all meGot thatOoh, what you sayAre you ready?Set, turn on the lightsBaby got passion, ambition난 보란 듯이Look at that온몸으로 느끼는 내 몸짓Baby gotDrip, drip, drip, drip, drip, drip, dripBaby gotDrip, drip, drip, drip, drip, drip, dripLet ’em outMonster, monster, monster came to conquerBaby, holla wassupWe the best, the rest confess, we blessed판을 180도 바꿔Y to the G, no copy, no Knock offBet on my life this pitch I’m gon’ walk-offMONSTIEZ 꽉 잡아 Hold tight끝까지 밟아You know we gon’ rideMmm, na-na-naI’ll be there 고민하지 마Uh, na-na-naI’ll be there 망설이지 마But you don’t know ’bout meYeah yeah, you gon’ know ‘bout me boy아름다운 별들이 빛나는 밤이야Mmmh, what you say끝없는 가치You know it’s all meGot thatOoh, what you sayAre you ready?Set, turn on the lightsBaby got passion, ambition난 보란 듯이Look at that온몸으로 느끼는 내 몸짓Baby gotDrip, drip, drip, drip, drip, drip, dripBaby gotDrip, drip, drip, drip, drip, drip, drip가끔 쓰러진대도I’mma shine as bright as diamondsSay my name다시 일어나Now watch me do it all againBaby got drip, drip, dripBaby got, baby got, baby gotDrip, drip, dripYou know we got got that dripBaby got drip, drip, dripBaby got, baby got, baby gotDrip, drip, dripGot that drip yeah#BABYMONSTER #베이비몬스터 #1stFULLALBUM #DRIP #MV #OUTNOW #YGAvailable @ https://BABYMONSTER.lnk.to/DRIPMore about BABYMONSTER @Official YouTube https://www.youtube.com/@BABYMONSTEROfficial Instagram https://www.instagram.com/babymonster_ygofficialOfficial Facebook https://www.facebook.com/BABYMONSTER.ygofficialOfficial Twitter https://twitter.com/YGBABYMONSTER_Official TikTok https://tiktok.com/@babymonster_yg_tiktokOfficial Weibo https://weibo.com/u/7811488144Official bilibili https://space.bilibili.com/3493127232948989",60496,2024-11-01,Zp-Jhuhq0bQ
СЕКРЕТНОЕ ОРУЖИЕ КАРИНЫ 😱! КАК ЖЕ ЕЁ ПОБЕДИТЬ?! 😰 #robloxshorts #roblox #brookhaven,46554,330718,ЖМИ НА ВИДЕО: ✅ ИГРАТЬ С КАРИНОЙ 👈,195,2024-11-01,mk363xgOr5k
"УГАДАЙ КТО Я? *Егорик, Аслан, Прокофьев, Маруся, Монтажник*",37128,734590,"Переходите по ссылке в приложение Самоката: https://clck.ru/3EH3RJС 31 августа по 31 декабря в онлайн-магазине действует промокод ЯНА, который дает скидку 150 рублей на любой заказ от 800 рублей.Билеты на концерты, которые нужно увидеть именно вам, уже в Яндекс Музыке: https://clck.ru/3E86A9УГАДАЙ КТО Я? *Егорик, Аслан, Прокофьев, Маруся, Монтажник*В этом видео мы будем играть в игру КТО Я! Каждому участнику раздаются карточки с персонажем или предметом. Нужно угадать кто ты, с помощью наводящих вопросов!  Видео получилось очень интересным и смешным! Ставь обязательно лайк, если хочешь увидеть продолжение! ЕГОРИК -     @EGORIK.SHKRED САНЯ МОНТАЖНИК -   @sanyamontajka ПРОКОФЬЕВ - @andrushaprok МАРУСЯ -  @MarousiaNaSvyazi АСЛАН - @Aslanshukasha Мой ТЕЛЕГРАММ-КАНАЛ: https://t.me/yanazeninaМое сообщество ВКонтакте: https://vk.com/yana_zeninavkРеклама: yanazenina.pr@gmail.comPR: +7 916 482 59 41 Любовь",1830,2024-11-01,-s5yv5qPQZU
Как рисовать уникальный фанарт #art #искусство #рисунки #аниме #фанарт #рисование #художник,27638,205297,,102,2024-11-01,ISk54zTpyxg
"ЖЕСТКОЕ ПАДЕНИЕ СПРОСА. РЕАЛЬНЫЕ ЦЕНЫ И СКИДКИ НА ЛАДА, ЧЕРИ ЧАНГАН И так далее",4793,185303,"Машины на продаже: https://t.me/lisarulitsalesПремиальный квартал HIGH LIFE в 5 минутах от Садового кольца.Узнайте о проекте от PIONEER: https://clck.ru/3EKd8yяПредложения по новым авто: https://autospot.ru/?utm_source=ytb&utm_medium=bloggers&utm_term=newcars&utm_content=1nov24&utm_campaign=lenalisa33Записаться выгодно на ТО Автоспот: https://autospot.ru/autoservice/to/?utm_source=ytb&utm_medium=bloggers&utm_term=newcars&utm_content=1nov24&utm_campaign=lenalisa33Реклама. Рекламодатель ООО «Автоспот» ИНН 7715936827 ERID: 2VfnxxZkpA4СТРАХОВАТЬСЯ У МЕНЯ: lisarulit@arezerv.ruМОЙ СТРАХОВОЙ БРОКЕР: http://www.arezerv.ruПодпишитесь на мой ТГ-канал: http://t.me/lisarulit777По рекламе и сотрудничеству: 7605339@mail.ruМашины на продаже: https://t.me/lisarulitsalesПишите в вотсап: +7-909-999-0870МОЙ ВТОРОЙ КАНАЛ: https://www.youtube.com/channel/UC0A70mYNLbL9BHH5ewD6aIgЯ В ИНСТАГРАМ: https://instagram.com/lisarulit-----------------------------------------------------Елена Лисовская, Лиса рулит. Тест-драйвы, обзоры автомобилей. Новые машины, новые кроссоверы.#авто #автомобиль #машина #тестдрайв #лисарулит #еленалисовская",1053,2024-11-01,-Fsfom1mkEY
БОГАТЫЕ🤑 и БЕДНЫЕ😰 в РОБЛОКС БРУКХЕЙВЕН! #robloxshorts #roblox #brookhaven,59690,638538,ЖМИ НА ВИДЕО: ✅ ИГРАТЬ С КАРИНОЙ 👈#short #brookhavenrp #смешное #интересное #robloxedit #robloxgames #dubrovskyplay #roblox #shorts #edit #trending #bacon Tags:#roblox #dubroplay #robloxedit #robloxcontentkorbloxheadlesscheap super super happy facecheap korbloxcheap headlessfree korbloxfree headless,298,2024-11-01,Q-enIzxHm-o
ТИПИЧНАЯ СЕМЬЯ 90х,32403,344768,"Новые машины продаются на Авто.ру: https://auto.ru/s/GOcdDyРеклама: ООО Яндекс.Вертикали ИНН 7704340327 ERID: 2Vtzqwsak3vФутболки от Бати: https://mob.bio/batyacalendar2024Реклама: ИП Орехов Валерий Федорович, ИНН: 742407339596, ERID: 2Vtzqw166oNРолик без цензуры и бэкстейджи:https://boosty.to/vitaliyorekhovhttps://t.me/ORESHEKVIP_BOTБусти Oreshekgirls: https://vitaliyorekhov.ru/oreshekgirlsМОЙ ТЕЛЕГРАМ: https://t.me/batyaorekhovchannelOreshek Girls: https://t.me/oreshekgirlsПоддержать наши проекты донатом:Сбер 2202202329546661или по ссылке https://www.donationalerts.com/r/vitaliy_orekhovПри участии:@aiverikagilev  https://vk.com/id37763612@orekhovml  https://vk.com/id31703034Oreshekgirls: @elenakozinaa  https://t.me/mrrr_525МОЙ МЕРЧ: https://mob.bio/batyacalendar2024МОЙ ВТОРОЙ КАНАЛ НА ЮТУБЕ: https://goo.gl/fynF3sМОЙ ДЗЕН: https://zen.yandex.ru/batyaorekhovМОЙ VK http://vk.com/krepkiy_oreshekГРУППА ВК: https://vk.com/vitaliyorekhovprodМОЙ Rutube: https://rutube.ru/channel/12858205/#типичнаясемья #орешек #батя",1519,2024-11-01,2tKR1v7O5aA
10 VS 100 VS 1000 ГРАММ ЧЕЛЛЕНДЖ!,35227,371521,"Скачайте Плюс Сити по ссылке: https://clck.ru/3EAf77Играйте в красивую и увлекательную игруНаш мерч: https://prostomerch.shop/catalog/collections/dyushes• НАШ ТЕЛЕГРАМ КАНАЛ - https://t.me/duchess_official• НАШ ВТОРОЙ КАНАЛ - ​⁠​@DuchessOffTeam • НАШ ИГРОВОЙ КАНАЛ - ​⁠​⁠@DuchessOffGames • НАША ГРУППА В ВК - https://vk.com/duchessofficial • КАНАЛ МАКСУТЫ - ​⁠​⁠@Max_uta • КАНАЛ СТЕПЫ - ​⁠​⁠@NeGray • СТРИМЫ ЕВГЕНА - https://www.twitch.tv/sko_otПо вопросам РЕКЛАМЫ И СОТРУДНИЧЕСТВА - duches@avtormedia.ru10 VS 100 VS 1000 ГРАММ ЧЕЛЛЕНДЖ!Всем привет!) В этом видеоролике мы с ребятами решили сделать продолжение ЛЕГЕНДАРНОГО челленджа! Суть в том, что нам нужно будет кушать МЕРЗКУЮ ЕДА по граммам. Кому-то достанется 10 грамм, кому-то 100 грамм, а кому-то выпадет 1000 грамм! Все это будет решать рандом. Если участник не съедает свой объем еды, то он получает жесткое наказание) Приятного просмотра!",2226,2024-11-01,Rjd7Fzx80aA
Не пойдем на убой! Не желаем служить! #армияРФ #война #Украина,7876,161163,"Военнослужащих 382-го отдельного батальона морской пехоты в составе 810-й отдельной бригады морской пехоты Черноморского флота России записали видеообращение с просьбой о помощи. Солдаты говорят о больших потерях и отказываются выполнять приказы.Подпишитесь на канал Радио Свобода  http://bit.ly/2vQLCnhВключите уведомления о новых видео, нажав на значок колокольчика.#РадиоСвобода",613,2024-11-01,iuh4xrAd47A
ДО ТОГО КАК СТАЛО СТРАШНО #6,32910,305290,Не бойтесь чёрной пятницы - покупайте гаджеты у моих друзей в Big Geek - https://biggeek.ru/s/utopia-live-31———Все промокоды в одном месте! Скачивайте Яндекс Браузер и покупайте выгодно: https://clck.ru/3EJ6VN———До 14 ноября проходит главная распродажа 11.11 на Ozon. Исключительные скидки до 85% и суперогромный выбор желанного — от косметики до электроники. Главное — вовремя купить: https://ozon.ru/t/nr4m8Dp———Телега Utopia Show: https://t.me/topapopaТелега Лехи: https://t.me/tupolexaТелега Марины: https://t.me/maruksksТелега Сени и Грига: https://t.me/omnomnormТелега Денчика: https://t.me/UtopiaDen-----------ПОДДЕРЖАТЬ КАНАЛ И ПОЛУЧИТЬ КОНТЕНТ ВЗАМЕН:https://boosty.to/utopiashow-----------Грим:https://vk.com/edhel_sfx_studio - Анастасия https://t.me/SerhioMustache - СергейТаймкоды:0:00 Вступление01:56 Участники05:10 Он кричал от боли06:23 Пожелания09:29 С тех пор я пытался повторить это но безуспешно думаю теперь они теперь знают о моих попытках может быть кому-то из вас удастся их подловить16:53 первая история 19:53 Реклама21:00 2. Ведь я всегда была хорошей мамой и никогда не могла отказать своим детям27:47 3. Было уже поздно реагировать на звук позади меня35:53 4. Если повезёт говорил я себе то никто не спросит где остальное тело42:20 5. Мой крик на который ответят молитвой49:22 6. Потому что каждую ночь я слышу настойчивый стук дерева о дерево1:07:10 7. Тебя звали Ханна в тот день ты спасла жизнь моей дочери и я тебя никогда не забуду1:17:15 8. И теперь я каждый раз жду когда наступит хэллоуин1:22:37 Прикол1:35:40 9. Я должен поделиться им со своей женой и детьми1:40:50 10. Что означает НАСА спросил мой коллега рассматривая выцветшую эмблему1:46:13 11. Но затем экран вспыхнул снова и надпись изменилась шансы на выживание 0 процентов1:53:44 12. И когда время придёт я проявлюсь в полной мере и тогда этот мир наконец то станет таким каким должен быть1:57:57 Порча2:05:30 13. Слепой человек заходит в ресторан и заказывает мясо альбатроса после того как он поел он вышел и застрелился2:13:10 14. Мне бы хоть одну жертву кто-нибудь пожалуйста2:22:25 15. В следующий миг я услышала как медленно открывается моя входная дверь2:29:53 16. Я не разделяю взглядов сородичей но спасти всех не могу2:33:56 17. Когда он попросил меня посчитать от десяти в обратном порядке2:43:14 18. Все они уже прошли этот этап а мне лишь предстоит узнать останусь ли я жив2:51:03 19. Она сказала что во мне не чистый дух2:58:37 20. Потому что не надо огорчать своих фанатов3:02:30 До того как стало вкусно3:14:00 21. Каковы шансы что мы встретимся снова3:16:52 22. Ну ничего когда придет время мы с ней обязательно встретимся3:19:52 23. Каждая таблетка которую он принимал разрушало мое тело и изматывала разум3:21:40 24. Не понимаю почему мы ведь так классно проводили время вместе3:28:25 25. Я был очень рад этому но мое счастье быстро пропало когда я очнулся в гробу и понял почему он ждал так долго3:31:35 Заключение3:33:50 Последняя история,2866,2024-11-01,pD54wz55ZLk
